"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo"
2916,131.50637700505,17.6992184332704,5.07645149943569,1,1951,51.9,9.85,"51.9 9.85","1950-1970",112
2256,114.548732555429,84.7277603083323,5.67274180868821,1,1952,51.9,9.85,"51.9 9.85","1950-1970",105
2532,121.289616371739,77.9323356270101,7.97967724099515,1,1953,51.9,9.85,"51.9 9.85","1950-1970",104
2304,116.216797589856,26.9762897987689,5.95838696359386,1,1954,51.9,9.85,"51.9 9.85","1950-1970",120
1896,106.072924175033,84.112960337918,7.53354821870885,1,1955,51.9,9.85,"51.9 9.85","1950-1970",121
2232,105.802021159416,91.4800500129816,7.81096756734675,1,1956,51.9,9.85,"51.9 9.85","1950-1970",130
2988,134.887502155058,54.3341333636778,6.91887081309312,1,1957,51.9,9.85,"51.9 9.85","1950-1970",116
2076,110.120262345448,47.0914978208975,6.12177405671607,1,1958,51.9,9.85,"51.9 9.85","1950-1970",122
2748,124.42404874183,126.847436858024,9.62499978486449,1,1959,51.9,9.85,"51.9 9.85","1950-1970",109
2496,120.592842298411,77.855470513338,8.19451594587055,1,1960,51.9,9.85,"51.9 9.85","1950-1970",116
2220,115.805696337668,139.606580929452,9.54806430271316,1,1961,51.9,9.85,"51.9 9.85","1950-1970",115
2268,110.292438887597,134.999190199353,9.24951592228946,1,1962,51.9,9.85,"51.9 9.85","1950-1970",128
1788,89.6532653384166,115.815582985431,9.55516107674808,1,1963,51.9,9.85,"51.9 9.85","1950-1970",126
2316,115.977254183582,129.308306566529,9.14096753761893,1,1964,51.9,9.85,"51.9 9.85","1950-1970",125
2256,111.317524227205,57.8867281966581,7.56774176633166,1,1965,51.9,9.85,"51.9 9.85","1950-1970",123
2220,113.527880658195,136.228395947887,9.57403204406822,1,1966,51.9,9.85,"51.9 9.85","1950-1970",122
2628,123.412176141453,79.1801704055423,8.08661272247592,1,1967,51.9,9.85,"51.9 9.85","1950-1970",130
1752,98.3378709119621,101.568414448152,7.95887078984731,1,1968,51.9,9.85,"51.9 9.85","1950-1970",110
1452,89.8781709947477,100.185132621082,8.07661272269944,1,1969,51.9,9.85,"51.9 9.85","1950-1970",123
2160,107.466460393161,65.093402239311,6.74838694593599,1,1970,51.9,9.85,"51.9 9.85","1950-1970",125
1896,107.454684547253,18.3601601115797,4.83790311767089,2,1951,49.3167,12.75,"49.3167 12.75","1950-1970",112
1860,98.0528464307315,98.9824681565365,6.21403211917007,2,1952,49.3167,12.75,"49.3167 12.75","1950-1970",109
1860,97.4321480386345,69.8856375390269,7.86967724345384,2,1953,49.3167,12.75,"49.3167 12.75","1950-1970",106
1824,102.009755714411,26.9909824527294,5.25306439871389,2,1954,49.3167,12.75,"49.3167 12.75","1950-1970",122
1536,91.9116141497373,79.8621896492986,6.60870952970318,2,1955,49.3167,12.75,"49.3167 12.75","1950-1970",122
1524,91.3667587144009,52.2962077433457,5.88258051367537,2,1956,49.3167,12.75,"49.3167 12.75","1950-1970",126
2508,116.421501593508,36.5101999326397,5.83048374064627,2,1957,49.3167,12.75,"49.3167 12.75","1950-1970",116
1704,95.2707674966585,163.787863813373,9.83322558666189,2,1958,49.3167,12.75,"49.3167 12.75","1950-1970",136
2340,109.610898718172,53.0984757047465,6.94161274806867,2,1959,49.3167,12.75,"49.3167 12.75","1950-1970",103
2328,105.906788271259,35.2198349581191,5.23596762490248,2,1960,49.3167,12.75,"49.3167 12.75","1950-1970",102
1872,101.688960422514,74.7502226552919,7.10064500257854,2,1961,49.3167,12.75,"49.3167 12.75","1950-1970",98
1440,88.0683012929059,108.758445676329,7.37693531898361,2,1962,49.3167,12.75,"49.3167 12.75","1950-1970",115
1776,83.0948260142032,79.3664305560852,7.48822563907672,2,1963,49.3167,12.75,"49.3167 12.75","1950-1970",115
1680,89.1656430901803,48.8585576177516,6.01016115598501,2,1964,49.3167,12.75,"49.3167 12.75","1950-1970",110
1848,98.3290692153355,28.3170934766158,6.2698385695356,2,1965,49.3167,12.75,"49.3167 12.75","1950-1970",123
1764,101.632967266505,58.3255018020696,6.59306436876256,2,1966,49.3167,12.75,"49.3167 12.75","1950-1970",113
1980,99.8955270323917,40.5677085426773,5.69145148568937,2,1967,49.3167,12.75,"49.3167 12.75","1950-1970",110
1560,92.402125097123,56.0178137606319,6.23225792521431,2,1968,49.3167,12.75,"49.3167 12.75","1950-1970",110
1536,83.0156959106157,49.3994118695965,5.13419343362893,2,1969,49.3167,12.75,"49.3167 12.75","1950-1970",117
1656,90.3271040249322,55.4207526159877,6.2085482483249,2,1970,49.3167,12.75,"49.3167 12.75","1950-1970",126
2256,121.059820081894,32.7090503494639,5.6688708410328,3,1951,49.4,11.4,"49.4 11.4","1950-1970",112
1980,106.629006473599,95.5107546974405,6.62806436798025,3,1952,49.4,11.4,"49.4 11.4","1950-1970",106
1836,100.71798779337,77.2185890327673,6.89258049110011,3,1953,49.4,11.4,"49.4 11.4","1950-1970",96
2064,110.974546431904,29.1678457689243,5.693870840474,3,1954,49.4,11.4,"49.4 11.4","1950-1970",119
1560,95.4362962247925,66.5703577764332,6.46645146836677,3,1955,49.4,11.4,"49.4 11.4","1950-1970",120
1752,94.4773944010811,56.5590699677953,6.27935469835516,3,1956,49.4,11.4,"49.4 11.4","1950-1970",125
2532,121.612123391186,60.0884775186543,6.83709662137253,3,1957,49.4,11.4,"49.4 11.4","1950-1970",111
1944,100.711984139405,52.5253365499204,6.32790308436679,3,1958,49.4,11.4,"49.4 11.4","1950-1970",123
2352,112.978382291365,119.459619863467,9.30338688882729,3,1959,49.4,11.4,"49.4 11.4","1950-1970",106
2304,114.40854946795,73.5100336774926,7.31274177203135,3,1960,49.4,11.4,"49.4 11.4","1950-1970",105
1836,103.10109373506,95.6532745849719,7.96983853153764,3,1961,49.4,11.4,"49.4 11.4","1950-1970",99
1560,93.2802650614485,108.488877905921,7.69161273130486,3,1962,49.4,11.4,"49.4 11.4","1950-1970",114
1644,86.2303236771663,104.101534539429,8.74919335282738,3,1963,49.4,11.4,"49.4 11.4","1950-1970",119
1836,105.216293960076,92.2554526454725,7.82903208307201,3,1964,49.4,11.4,"49.4 11.4","1950-1970",114
1968,104.82853767826,41.5277555895125,6.89596758779859,3,1965,49.4,11.4,"49.4 11.4","1950-1970",123
2028,109.802894667776,82.2295153577821,7.78661272918145,3,1966,49.4,11.4,"49.4 11.4","1950-1970",115
2184,108.281841026382,48.9549302217172,6.20967728055773,3,1967,49.4,11.4,"49.4 11.4","1950-1970",109
1596,97.7616767607279,84.1349205011453,7.26854822463206,3,1968,49.4,11.4,"49.4 11.4","1950-1970",110
1512,87.9653829564723,83.9536325731193,6.85338694358905,3,1969,49.4,11.4,"49.4 11.4","1950-1970",119
1668,92.4936532037871,70.3695013964062,6.768064364851,3,1970,49.4,11.4,"49.4 11.4","1950-1970",126
1872,107.51196189793,31.8984624147045,5.81096761205023,4,1951,48.75,13.5167,"48.75 13.5167","1950-1970",114
1824,98.4632651841088,118.418436474842,7.52225789638056,4,1952,48.75,13.5167,"48.75 13.5167","1950-1970",111
1632,91.7601505736736,94.3943750459442,8.89741915596589,4,1953,48.75,13.5167,"48.75 13.5167","1950-1970",110
1896,105.599862036276,37.0438011770204,5.83419341798271,4,1954,48.75,13.5167,"48.75 13.5167","1950-1970",122
1524,94.8787236188133,49.5192235998891,5.68387084069752,4,1955,48.75,13.5167,"48.75 13.5167","1950-1970",120
1500,89.0661285781035,71.617150145199,6.87322565282304,4,1956,48.75,13.5167,"48.75 13.5167","1950-1970",127
2592,119.291726035065,64.5270512537339,6.89145145886728,4,1957,48.75,13.5167,"48.75 13.5167","1950-1970",119
1500,89.0145898042769,6.13521932851085,-0.638870953462057,4,1958,48.75,13.5167,"48.75 13.5167","1950-1970",95
2196,107.215698444271,103.979333362353,8.96629012216844,4,1959,48.75,13.5167,"48.75 13.5167","1950-1970",107
2316,112.586322952018,76.286165164524,8.1493546565574,4,1960,48.75,13.5167,"48.75 13.5167","1950-1970",111
1836,98.8126128741916,114.851639590887,8.29129013725587,4,1961,48.75,13.5167,"48.75 13.5167","1950-1970",106
1464,87.5018032712735,104.937610841883,7.27112886973567,4,1962,48.75,13.5167,"48.75 13.5167","1950-1970",114
1560,77.8058179223158,99.0316154096732,8.27225787961675,4,1963,48.75,13.5167,"48.75 13.5167","1950-1970",116
1680,92.597160100419,74.1006064546106,7.23209661254359,4,1964,48.75,13.5167,"48.75 13.5167","1950-1970",111
1668,96.8019093634335,35.5273562431342,6.73274178499536,4,1965,48.75,13.5167,"48.75 13.5167","1950-1970",123
1632,96.2009867351755,98.1753853064134,8.43306432763535,4,1966,48.75,13.5167,"48.75 13.5167","1950-1970",117
1992,102.566743216168,56.3308304906596,6.3535482450839,4,1967,48.75,13.5167,"48.75 13.5167","1950-1970",114
1560,93.6717036243934,79.4382230232362,7.66403208676005,4,1968,48.75,13.5167,"48.75 13.5167","1950-1970",110
1452,88.238751094676,58.3403469237893,5.8777418041061,4,1969,48.75,13.5167,"48.75 13.5167","1950-1970",117
1548,85.9322761257926,45.1676333943146,5.60145148770103,4,1970,48.75,13.5167,"48.75 13.5167","1950-1970",123
2688,128.554989097802,27.9773529273158,5.37999987974763,5,1951,50.95,9.86667,"50.95 9.86667","1950-1970",115
2172,113.034094161452,96.826035569265,6.47225791984989,5,1952,50.95,9.86667,"50.95 9.86667","1950-1970",107
2328,113.62784049251,60.8255199262856,6.37854824452511,5,1953,50.95,9.86667,"50.95 9.86667","1950-1970",96
2280,117.158335550201,26.2479651159613,5.69903213068122,5,1954,50.95,9.86667,"50.95 9.86667","1950-1970",119
1644,100.38211835681,75.8167798793318,6.99645145652035,5,1955,50.95,9.86667,"50.95 9.86667","1950-1970",121
2004,100.01023188949,45.7493159236009,5.88838696515849,5,1956,50.95,9.86667,"50.95 9.86667","1950-1970",125
2796,130.200047077669,46.4981042091593,6.61225791672064,5,1957,50.95,9.86667,"50.95 9.86667","1950-1970",110
2028,106.42120570333,46.6128377438872,6.10016115397335,5,1958,50.95,9.86667,"50.95 9.86667","1950-1970",123
2736,123.024263945956,71.48971850686,7.45322563985903,5,1959,50.95,9.86667,"50.95 9.86667","1950-1970",103
2460,114.05334682328,65.6748197094351,7.565483701866,5,1960,50.95,9.86667,"50.95 9.86667","1950-1970",111
2124,113.695982400285,72.0873372911227,7.3058062883154,5,1961,50.95,9.86667,"50.95 9.86667","1950-1970",100
1824,104.510509992465,100.400337232917,7.58322563695331,5,1962,50.95,9.86667,"50.95 9.86667","1950-1970",115
1896,89.2108638306901,69.4296477923664,7.31387080426418,5,1963,50.95,9.86667,"50.95 9.86667","1950-1970",114
2016,108.581717650752,72.2691768991474,6.57225791761471,5,1964,50.95,9.86667,"50.95 9.86667","1950-1970",111
2100,107.03420305389,41.8735464836952,6.9816127471746,5,1965,50.95,9.86667,"50.95 9.86667","1950-1970",118
2088,112.809472139143,82.9082568892406,7.97096756377047,5,1966,50.95,9.86667,"50.95 9.86667","1950-1970",116
2460,116.231044253957,31.5392324644379,5.65725793806656,5,1967,50.95,9.86667,"50.95 9.86667","1950-1970",116
1632,96.1614590307903,110.910059589201,7.79854821278563,5,1968,50.95,9.86667,"50.95 9.86667","1950-1970",112
1440,89.2573727398746,117.00513305627,8.46887077844792,5,1969,50.95,9.86667,"50.95 9.86667","1950-1970",125
