"Mean.Utah.1","Mean.Port.1","Mean.GDD.1","Spring.Temp.1","Site Num..1","Mean.Utah.2","Mean.Port.2","Mean.GDD.2","Spring.Temp.2","Site Num..2","Mean.Utah.3","Mean.Port.3","Mean.GDD.3","Spring.Temp.3","Site Num..3","Mean.Utah.4","Mean.Port.4","Mean.GDD.4","Spring.Temp.4","Site Num..4","Mean.Utah.5","Mean.Port.5","Mean.GDD.5","Spring.Temp.5","Site Num..5","Mean.Utah.6","Mean.Port.6","Mean.GDD.6","Spring.Temp.6","Site Num..6","Mean.Utah.7","Mean.Port.7","Mean.GDD.7","Spring.Temp.7","Site Num..7","Mean.Utah.8","Mean.Port.8","Mean.GDD.8","Spring.Temp.8","Site Num..8","Mean.Utah.9","Mean.Port.9","Mean.GDD.9","Spring.Temp.9","Site Num..9","Mean.Utah.10","Mean.Port.10","Mean.GDD.10","Spring.Temp.10","Site Num..10","Mean.Utah.11","Mean.Port.11","Mean.GDD.11","Spring.Temp.11","Site Num..11","Mean.Utah.12","Mean.Port.12","Mean.GDD.12","Spring.Temp.12","Site Num..12","Mean.Utah.13","Mean.Port.13","Mean.GDD.13","Spring.Temp.13","Site Num..13","Mean.Utah.14","Mean.Port.14","Mean.GDD.14","Spring.Temp.14","Site Num..14","Mean.Utah.15","Mean.Port.15","Mean.GDD.15","Spring.Temp.15","Site Num..15","Mean.Utah.16","Mean.Port.16","Mean.GDD.16","Spring.Temp.16","Site Num..16","Mean.Utah.17","Mean.Port.17","Mean.GDD.17","Spring.Temp.17","Site Num..17","Mean.Utah.18","Mean.Port.18","Mean.GDD.18","Spring.Temp.18","Site Num..18","Mean.Utah.19","Mean.Port.19","Mean.GDD.19","Spring.Temp.19","Site Num..19","Mean.Utah.20","Mean.Port.20","Mean.GDD.20","Spring.Temp.20","Site Num..20","Mean.Utah.21","Mean.Port.21","Mean.GDD.21","Spring.Temp.21","Site Num..21","Mean.Utah.22","Mean.Port.22","Mean.GDD.22","Spring.Temp.22","Site Num..22","Mean.Utah.23","Mean.Port.23","Mean.GDD.23","Spring.Temp.23","Site Num..23","Mean.Utah.24","Mean.Port.24","Mean.GDD.24","Spring.Temp.24","Site Num..24","Mean.Utah.25","Mean.Port.25","Mean.GDD.25","Spring.Temp.25","Site Num..25","Mean.Utah.26","Mean.Port.26","Mean.GDD.26","Spring.Temp.26","Site Num..26","Mean.Utah.27","Mean.Port.27","Mean.GDD.27","Spring.Temp.27","Site Num..27","Mean.Utah.28","Mean.Port.28","Mean.GDD.28","Spring.Temp.28","Site Num..28","Mean.Utah.29","Mean.Port.29","Mean.GDD.29","Spring.Temp.29","Site Num..29","Mean.Utah.30","Mean.Port.30","Mean.GDD.30","Spring.Temp.30","Site Num..30","Mean.Utah.31","Mean.Port.31","Mean.GDD.31","Spring.Temp.31","Site Num..31","Mean.Utah.32","Mean.Port.32","Mean.GDD.32","Spring.Temp.32","Site Num..32","Mean.Utah.33","Mean.Port.33","Mean.GDD.33","Spring.Temp.33","Site Num..33","Mean.Utah.34","Mean.Port.34","Mean.GDD.34","Spring.Temp.34","Site Num..34","Mean.Utah.35","Mean.Port.35","Mean.GDD.35","Spring.Temp.35","Site Num..35","Mean.Utah.36","Mean.Port.36","Mean.GDD.36","Spring.Temp.36","Site Num..36","Mean.Utah.37","Mean.Port.37","Mean.GDD.37","Spring.Temp.37","Site Num..37","Mean.Utah.38","Mean.Port.38","Mean.GDD.38","Spring.Temp.38","Site Num..38","Mean.Utah.39","Mean.Port.39","Mean.GDD.39","Spring.Temp.39","Site Num..39","Mean.Utah.40","Mean.Port.40","Mean.GDD.40","Spring.Temp.40","Site Num..40","Mean.Utah.41","Mean.Port.41","Mean.GDD.41","Spring.Temp.41","Site Num..41","Mean.Utah.42","Mean.Port.42","Mean.GDD.42","Spring.Temp.42","Site Num..42","Mean.Utah.43","Mean.Port.43","Mean.GDD.43","Spring.Temp.43","Site Num..43","Mean.Utah.44","Mean.Port.44","Mean.GDD.44","Spring.Temp.44","Site Num..44","Mean.Utah.45","Mean.Port.45","Mean.GDD.45","Spring.Temp.45","Site Num..45","Mean.Utah.46","Mean.Port.46","Mean.GDD.46","Spring.Temp.46","Site Num..46","Mean.Utah.47","Mean.Port.47","Mean.GDD.47","Spring.Temp.47","Site Num..47"
2340,116.116884733232,85.8660179802784,8.23661271912316,1,2160,114.674797186646,94.3846977236285,7.92951595179376,2,1932,107.663846669464,52.9289047793689,6.46983856506526,3,2028,107.212399042112,49.0386337808175,6.36951598666248,4,2304,117.100600692203,93.5644566357354,7.53709660572631,5,1908,106.767927810123,40.3046425435521,5.97112889879293,6,2220,115.773523956353,77.0967271948289,7.28693532099527,7,2208,115.988071105475,96.2805596192776,7.72322563382406,8,2268,117.857020838419,115.414028192474,8.44435464996364,9,2136,109.746301185345,44.3449332498019,5.6866127761201,10,2016,110.286686643544,81.766002001269,7.4725804781361,11,2220,117.669550495757,67.1295918188221,7.10790306693243,12,1944,106.178036146075,68.9352787989937,6.94435468349125,13,1896,108.796341226421,43.4224438769913,6.17741921676263,14,2064,108.443657418994,70.4412104963754,7.01241919809892,15,2172,113.643100179181,96.2120786841891,8.06967723898349,16,2292,116.841712680922,93.0863692329577,8.17548368823144,17,2304,114.60936040353,59.0300156857282,6.93629016754247,18,1872,107.981635288093,36.7306068369313,5.45306439424354,19,2076,108.84917017269,59.58945041204,6.8293546860617,20,2088,107.960659758958,47.5624839699459,6.36467727709321,21,2544,121.604294239286,88.0395003707102,8.21193530031991,22,2244,113.360491162027,44.1794304094592,6.14338695945879,23,2232,113.700439372181,63.7331579940675,7.23419338669027,24,2304,115.523828485452,68.838825314067,7.00838694012453,25,2076,110.950846989575,52.4848482215014,5.91048373885813,26,1956,109.587838418734,92.8524205059668,7.77048369728389,27,2292,110.780978185381,64.7374613487423,7.18951596833405,28,2232,116.405363540712,106.202110942411,8.02564498190317,29,2268,113.279018916334,65.5639093306891,7.27096757941669,30,2052,111.00068600707,77.8606008428169,7.03919339104886,31,2172,111.520436426124,69.3628604703427,7.54258047657148,32,2304,117.375598401426,83.2882064343256,7.63629015189626,33,2100,112.444128489398,59.4209298079419,6.98403210195923,34,2136,110.523480669428,47.9459723598809,6.40048372790578,35,2088,107.960659758958,122.658787583738,8.29161271789382,36,2148,108.085581569188,47.9746420908246,6.57741920782193,37,2220,113.122313482574,83.6310232761451,7.84306434082288,38,2220,114.198698641384,78.8516828593932,6.77548371952388,39,2340,117.823973692794,73.1670278185939,6.90903210363561,40,1956,106.769579820592,47.6340154313919,5.97935470506068,41,2088,109.458104049372,48.4855120777994,6.41499985661358,42,2388,121.587307478734,50.3216226521637,6.74338694604775,43,2136,110.523480669428,108.443733311716,7.88564498503242,44,2172,112.604381499256,62.8283215436275,7.00274177896039,45,2232,115.164335008962,84.6950544622284,7.52483854148417,46,2196,115.810559960119,66.8197784631702,6.37693534133535,47
2784,130.551643454531,90.0725763733221,8.32580626551663,1,2880,128.704392614728,76.4468210746651,7.86177401782404,2,2904,129.37557424813,51.1420833990437,6.3977417924832,3,3072,134.477141206602,70.2580380632135,7.45096757539338,4,3024,132.1085861705,48.4336949970077,6.40419340524222,5,2964,131.012257283913,48.176410234814,6.16274179773585,6,3036,135.104325587321,58.6748787173933,6.86967726580558,7,3024,131.996257698879,76.7270392599019,7.88790304949808,8,3084,135.49833625179,50.8974769419537,6.69661275354484,9,3036,129.428063254359,49.3280241610609,6.1782256683575,10,2724,126.15826657559,67.7519380181012,7.65854821591488,11,2928,134.169188009721,48.46092068842,6.32370953607343,12,2964,134.710194560805,69.2345410200362,7.58096757248765,13,3000,131.186242168967,43.198037762603,5.83596761149144,14,2928,131.006456492119,61.5150986282575,7.12596758265769,15,3060,132.384789914591,60.4205174281414,7.005322424064,16,2892,135.848977137754,66.7628182492564,7.4349998338148,17,3012,133.992695337921,76.4867972747835,7.57806434674609,18,2928,130.496440059247,28.6954428957934,5.04967730648575,19,2892,131.411605020086,86.3808093420847,8.1414514309276,20,3084,136.51303208683,95.202657321969,8.29258045980767,21,3024,134.435644993749,80.4365631305824,7.79499982576817,22,3072,137.191192544512,45.7784820599172,6.19774179695354,23,2904,133.269812104953,134.935682102813,9.83064494155828,24,3072,136.277126012057,88.2074812093229,8.32903207189614,25,3012,134.863019892414,23.6132221743473,4.73951602309582,26,3060,134.794080195606,105.264120050106,8.81112883531398,27,3012,135.804208921416,71.531340001393,7.29403209503019,28,3072,136.614441479555,71.3711931463159,7.66016111910463,29,3024,134.937439823739,73.8252584055886,7.48580628429209,30,3084,136.169651533461,77.0838725805994,7.80532240618261,31,3000,135.475294421753,110.000713969109,9.11629011881568,32,3168,135.590244931923,45.0693427938982,6.42564501766596,33,3024,132.493790397595,84.7771613171252,8.21483852606146,34,2952,133.152289163023,45.5612410132999,6.0616127677382,35,3084,136.51303208683,78.40664267838,7.84903208262497,36,2832,125.291502277117,62.6022547043572,7.54354821848533,37,2904,129.042198704364,66.6810694805811,7.40580628608023,38,3060,136.658305169869,60.4924607950401,7.18241919429913,39,3252,142.390807063441,72.6964661849073,7.58370950791023,40,2844,126.456042945415,15.2252258362964,4.06903216711456,41,2916,132.304579859775,75.8883639306829,7.83822563125361,42,3060,137.475753285666,50.1597724867054,6.70919339842493,43,2952,133.152289163023,63.913312514029,7.13483855020135,44,3120,135.145830085957,74.18016671855,7.60403208810115,45,3144,136.866300509033,88.6308490555558,8.24016110614062,46,2748,128.511330887444,65.2552297646663,7.12822564712335,47
2520,118.067321983493,142.180305977177,9.26790301865267,1,2604,122.962094611998,110.133624156754,7.94274175794975,2,2088,102.920785147656,69.388775484737,6.53629017648317,3,2220,109.355642423896,97.2668881643449,7.50919338054354,4,2556,123.871164268962,100.304354554726,7.49016112290443,5,1884,94.436091435547,55.5874138148508,5.90838696471145,6,2496,120.601860508996,97.898017485275,7.38709660907907,7,2664,124.243326901259,149.361541773469,8.92629012306251,8,2484,118.771636064906,92.1254104140887,7.466612736334,9,2280,111.418555512236,111.715319362756,7.40967725373564,10,2604,123.054611064029,101.967939210526,7.79209660002661,11,2544,123.187944251342,99.1790652672885,7.40967725373564,12,2196,110.791865362508,115.308315884542,7.89677401704173,13,1932,98.28573882463,68.7788961637721,6.48419340345408,14,2220,108.25933554691,94.8225956114555,7.33854822306744,15,2412,115.753282991801,107.259875394439,7.90564498458538,16,2892,128.85762893152,95.0801315746748,7.65032240964713,17,2424,114.950377456346,150.263230549922,9.20758043935582,18,2028,101.846406141608,69.1864696307396,6.43532243680449,19,2232,109.057661062347,81.620452872464,6.98322565036435,20,2220,109.968991257994,118.329712379789,8.05370949740492,21,2580,120.204974108526,88.484930631674,8.14516110826404,22,2316,114.571434733959,100.4871846141,7.59629015279033,23,2388,116.22759841177,172.4958027825,9.86370945694826,24,2364,115.80248197216,102.703554752888,7.75193531060171,25,2232,113.094604158628,67.0916974668747,6.5380643699919,26,2064,103.015161638988,125.919859129461,8.48290303619879,27,2520,117.439110763716,95.3361811662059,7.56693531473678,28,2532,121.353459655783,124.706390840043,8.19741917161211,29,2400,113.395185567826,132.362424066039,8.65403206463182,30,2292,116.45143621704,103.780147913183,7.80258047076002,31,2520,118.217194812505,141.006420878648,8.9941933473512,32,2568,120.468889123144,88.9983017211861,7.34709660997314,33,2400,115.271601380437,136.772774613917,8.54177400262486,34,2364,112.244011460585,96.1272379169191,7.52709660594982,35,2220,109.968991257994,103.597150408423,7.72548369828972,36,2676,123.172410807065,62.3602500462915,6.84080629870896,37,2820,130.114663987917,106.276028623191,8.08338691609641,38,2220,110.761933252948,95.0234770452678,7.143709517745,39,2700,128.217228469565,121.092834487193,7.89661272672275,40,1872,99.2857072231895,114.917182422631,7.43274176934914,41,2292,110.894143327332,71.6433891290178,6.55774178890692,42,2592,121.671762659754,130.895299895142,8.53096755125349,43,2364,112.244011460585,100.752766301906,7.66209660293234,44,2352,113.44851363768,91.3750610054738,7.35338693241318,45,2220,110.101125708788,88.1323146581026,7.49741918725833,46,2748,125.71552349288,33.3545657148861,5.13161278852532,47
2016,115.848053776781,103.58752139609,8.61919335573311,1,2136,116.342135462122,62.71697984115,6.88887081376367,2,1596,101.095597790225,55.1242776624073,6.35854824497214,3,1536,102.336095005555,57.5288878433348,6.54967727295814,4,2100,115.806694474269,52.1595770571481,6.31161276215026,5,1452,96.5994145958679,51.5271604606825,6.24161276371489,6,2076,116.06220042083,57.6563684881718,6.54064501509551,7,2052,115.515455305935,74.8077884729518,7.06741919686958,8,2040,116.429166526446,91.9822317989413,7.90467724267153,9,1656,100.051609258438,44.4053335211029,5.6866127761201,10,2472,124.874561965045,68.4797457191795,7.68999982811511,11,2148,117.224849108806,47.1737856162143,6.28241921441569,12,1380,94.2922329380026,82.1589112405457,7.48258047791258,13,1560,97.2343875110713,61.7987364840833,6.51274178991275,14,1572,100.676075611571,71.0766636192276,6.88387081387543,15,1884,112.062274517051,57.8378328155866,6.73451597850409,16,2424,121.935304635897,82.8099436248474,7.65935466750976,17,1992,113.958365601572,75.4185885343173,7.45580628496264,18,1548,99.3663957243368,61.7304185648182,6.61983856171249,19,1620,100.518387370078,72.4417079984839,7.42209660829676,20,1644,103.246483264872,76.2423315232286,7.19403209726536,21,2112,118.728733228798,71.3810157776194,6.1927417970653,22,1704,107.122633401233,66.8789186829496,6.69967726960538,23,1812,110.411476052883,89.8575769190813,7.99354820842705,24,1680,104.138682537598,53.9028826691363,6.42048372745874,25,1344,94.2484837743492,56.23445841516,5.98096760825044,26,1536,99.9266470970445,90.6148366277209,8.13661272135834,27,1944,113.345138389272,76.9764592640611,7.35387080337011,28,2088,116.804292742976,99.5906192200972,8.63338690380295,29,1848,112.046874173182,81.1365587672577,7.48564499397312,30,1548,99.4844694781553,74.7785720139898,7.56225789548649,31,1956,115.768732894942,84.4269012605337,7.65451595794049,32,2160,119.728630068116,52.8259415142578,6.52451598319796,33,1860,110.42627100893,71.3837244031143,7.1140320990535,34,1644,102.899448724361,63.030195049166,6.59467727195231,35,1644,103.246483264872,88.4667536537459,8.14467723730711,36,2520,124.589819412843,96.6423073969782,8.93532238092514,37,2484,123.047709503125,76.4087609022593,7.82548369605455,38,1500,98.9107859403578,64.441953784898,7.13677403402905,39,2160,119.963759162183,105.598385779232,8.58741916289493,40,1524,95.9550092131977,76.3505633684852,7.61080628149812,41,1596,99.5362330038394,44.2786131603603,5.98322567271609,42,1992,116.001074194482,97.1480132518666,8.45612884324885,43,1644,102.899448724361,73.8325537517511,7.08516113195688,44,1716,108.520314225529,50.5476619127459,6.32999985851347,45,1740,102.193153648541,66.8482532904885,6.94322565125842,46,2208,119.447895920158,77.2369551700825,7.22274177404301,47
1584,102.472306059966,171.46405448827,10.9161287882636,1,1836,106.366917672966,102.436588350974,8.90532238159569,2,1584,87.1139459913496,95.0030122115458,8.6020965819217,3,1536,92.3750495574745,93.4292567735182,8.60193529160273,4,1752,102.679272238722,105.632721620736,9.00629012127437,5,1356,81.2432345035562,87.4225903774871,8.42016110211731,6,1704,102.114992029162,88.5737700843106,8.42790303742813,7,1752,104.557538596074,112.836973084471,9.2690320508855,8,1596,100.512272159469,133.2661613465,9.82419332879926,9,1284,88.1090976780255,87.9777962248432,8.33645142656901,10,1884,107.585369133996,131.73983478221,9.5379030126177,11,1836,103.317880817264,92.0098788435891,8.53306432540018,12,1452,88.7170026017052,116.855157332347,8.98967721841989,13,1428,80.5054737493185,71.7878192045321,7.84483853433161,14,1428,91.0301160908011,106.743610797892,8.96516108993561,15,1560,100.85780355451,102.304323893239,8.88935464001711,16,1884,107.483956540876,146.201608941025,10.2498384805757,17,1512,98.5166041895888,118.672812581036,9.33919333963985,18,1500,85.9911226971643,86.0442491481082,8.30838691106727,19,1344,90.2505211098407,152.073262994393,10.1074191289203,20,1452,92.8328253050602,166.603028382797,10.4666126692788,21,1728,103.253112119641,148.374693105057,10.3906449290413,22,1416,96.6735498198252,146.314908373307,9.97032235779109,23,1572,102.023267008071,139.427889481623,10.03032235645,24,1416,95.8111113016966,113.025617830499,9.20499979425222,25,1500,87.4903210663583,116.740533923794,8.80612883542574,26,1452,89.2287068855443,157.689461090911,10.2274191262381,27,1500,98.662235180143,119.855426582119,9.42064495072249,28,1716,100.56517241285,98.3390598936467,8.74193528847348,29,1488,96.1008936400762,113.159608663176,9.19112882682032,30,1452,90.4107739735871,127.074817742675,9.2538707609018,31,1656,102.182783967662,114.335961016591,9.25725785760029,32,1836,105.441986568426,116.915483048498,9.41822559593786,33,1476,98.4654954703898,110.067577173026,9.13806431187737,34,1368,92.0367837912999,107.438868752008,9.1312901184804,35,1452,92.8328253050602,106.690415770356,9.04306431400079,36,1848,105.098181492047,95.1604943753048,8.67177399971913,37,2040,107.837866251066,122.672482862755,9.64903204239184,38,1428,87.623237944561,81.9815916717674,8.09387078682982,39,1728,101.114127486473,138.529327575717,9.62870946220092,40,1380,82.2249299989923,147.2235389205,9.89935461744185,41,1344,88.7274516968804,131.055852115723,9.62483849454551,42,1536,100.559165099322,117.835950685559,9.5451610769716,43,1368,92.0367837912999,122.46598476312,9.45983849823355,44,1572,95.9227479644596,104.147801934628,8.95854818685761,45,1536,93.1158926492814,128.94492006778,9.51080623902981,46,1872,103.304211764166,94.4879596466576,8.44838690793803,47
1392,97.4952029053536,130.244834052977,9.64725784888311,1,1260,92.3951957521054,93.4620237428588,8.44612884347237,2,1476,89.9033842896549,97.8228482165001,8.24193529964935,3,1404,87.6050996809801,83.6949943722844,7.9035482104387,4,1344,93.0664148217332,74.5135833017957,7.71225789213373,5,1380,86.7787771418132,81.7847212778594,7.68629015077867,6,1488,94.2746750094818,75.1145941530215,7.76016111686946,7,1236,91.4955182655346,102.653300507947,8.43629013401486,8,1356,94.3226825203788,83.2152354639645,8.10370949628733,9,1368,91.1645679118679,70.579616145227,7.30645144959131,10,1428,94.7519107874449,91.3086671156492,8.31435465286937,11,1536,94.9715008322004,77.3988922883197,7.83758046997771,12,1296,85.9714036261704,108.261050255393,8.35806432931173,13,1368,86.4984489411957,73.5361806780106,7.40145144746789,14,1416,90.0572043812877,99.2175564906915,8.32774174934433,15,1524,97.4025669677346,83.3374209931105,8.09145143204519,16,1356,98.5784878823469,109.5457584385,8.87274173716263,17,1428,92.5410998607937,103.695562894369,8.68709658002181,18,1524,89.4650737429869,101.830746529925,8.16564497877393,19,1548,93.4000682738494,95.070736497618,8.21999981626868,20,1296,87.2551087721429,110.731142262466,8.66983851589142,21,1428,100.381835076635,75.4823872388505,7.5029030581035,22,1296,89.4484290404019,126.205828559347,8.93645141315797,23,1308,94.2846830119745,147.825300325913,9.91145139136502,24,1260,90.4632642088606,115.093557875704,8.74290303038734,25,1464,89.7256877193157,92.5846378996699,7.67209660270882,26,1356,91.5151760308751,115.311010740487,8.70419335383321,27,1416,96.3325657903303,107.366302380614,8.74241915943041,28,1488,95.3088082825358,82.8320711594501,7.89032240428271,29,1416,91.8508905791238,111.762963704851,8.85274173760967,30,1380,91.0384879412227,102.827594723428,8.05951594888803,31,1536,96.5637693757709,114.128331160862,9.08193528087389,32,1464,95.0103176820545,76.707158066721,7.87096756600565,33,1452,95.2921095375149,91.1399761909725,8.27499981503934,34,1344,93.8233831754088,102.063526798341,8.48629013289728,35,1296,87.2551087721429,111.732767854248,8.73032238550724,36,1428,97.4929746488576,58.2399951990736,7.5338707993468,37,1380,98.7928621003744,98.2203273819404,8.65935464515801,38,1368,89.8042123280351,92.4102229465754,7.58112886280663,39,1380,98.5975808721789,108.357160558859,8.46209658505095,40,1476,85.7768000826629,84.1952779712969,7.49548370343062,41,1488,91.648406942457,99.0103707650711,8.33725787816389,42,1404,93.4676287412018,96.5274691764645,8.56903206653172,43,1344,93.8233831754088,102.990584371742,8.50451593894151,44,1404,90.3414854438973,108.569332999185,8.69903206362599,45,1500,91.6002720278725,107.256908376566,8.4333869082733,46,1164,92.5563788876591,52.2867155143572,5.11322569216211,47
3204,133.344857814642,151.48867703206,9.81806429667819,1,3324,138.090408972567,107.316907461245,8.62951593614754,2,3108,125.043009603554,78.9353230181886,7.33758048115358,3,3168,129.971181546809,100.888250183018,7.91919337137933,4,3324,137.172824732287,75.7278998560763,7.41693531808954,5,2964,124.855356205951,34.6133794069993,5.9911288983459,6,3372,138.911493870724,87.2210857492314,7.58645144333282,7,3324,139.114325954491,148.85804799875,10.1425804184569,8,3312,136.185853064406,118.267707373079,8.74725786899968,9,3036,129.274117765467,117.068769045545,8.16596755941188,10,3432,142.58957767421,146.456007298412,10.0290320338982,11,3432,139.836425556406,83.1669257473639,7.54435467008021,12,2988,124.059130777983,80.2674413415298,7.32112886861808,13,3036,126.115479613841,54.1634367495458,6.76935468740281,14,3132,128.826156812411,94.5976566823936,7.74822563326527,15,3192,137.359352397183,196.149722403053,11.3199997469783,16,3312,139.695778095377,69.4241953881164,7.75306434283454,17,3204,135.338435931083,89.7866654741835,7.88870950109295,18,3072,124.101471719693,92.5900651170361,8.15274175325589,19,3120,129.23259651969,87.1720370163312,7.57096757271117,20,3060,128.107933830913,123.149646263818,9.13209657007528,21,3192,133.381568777914,75.1031115980176,8.00096756309992,22,3240,134.24500911389,165.363510615896,10.6088707306152,23,3120,132.945113755282,104.32364154376,8.50419335830356,24,3180,132.765771825922,88.5837650905151,7.67870950578682,25,2856,122.924756054082,153.807760539896,10.1295159026199,26,3060,127.362280765136,129.271206159294,9.17225785950018,27,3204,134.395896599796,123.825206340073,8.91451592977729,28,3312,138.788229810361,85.4936459934406,7.49838692917218,29,3228,133.937449219672,88.0795343342395,7.82967724434791,30,2964,124.341776186386,69.7886363694428,6.91919339373107,31,3252,137.426882094554,91.2916879127895,8.03774175582634,32,3348,136.951786903139,69.7095141741336,7.17145145260879,33,3204,134.825390334834,102.160439739192,8.08596756120002,34,3120,132.092902016667,46.1681308800616,6.60306436853904,35,3060,128.107933830913,101.830246348181,8.00741917585894,36,3552,144.758855419803,51.9121294246057,7.35258048081831,37,3384,142.938957091086,138.257858675256,9.67612881597973,38,2916,127.056430591523,109.433717180315,8.2033869134142,39,3444,142.348875523045,161.297116662587,10.2266126746432,40,3000,123.636383620207,107.546351069342,8.8380643185829,41,3120,129.788334887895,103.653201342616,8.56403206664348,42,3300,136.785424370762,77.0323155922755,7.56177402452956,43,3120,132.092902016667,112.022360843253,8.35854820026866,44,3132,130.785788202278,105.11319144876,8.19338691363772,45,3156,131.362146392859,88.4344662809568,7.76161272974024,46,3192,137.101514301558,68.6807837774119,7.78209660025013,47
2928,135.308004967333,77.8916676989925,7.83161272817562,1,3084,138.705553559724,51.0871508248732,6.85435468550291,2,2556,125.659161306181,44.0540465032392,5.80419341865326,3,2700,128.391404598954,51.2588644884227,6.88516113642723,4,2856,133.011216702238,44.7471096973682,6.57532243367525,5,2508,126.643561945291,40.7372561656132,5.44435471701886,6,2832,131.184960559497,34.8116748152835,6.0925805089815,7,2976,135.783842881686,81.1439047783372,7.90145143629202,8,2856,130.206096781537,59.7234378981055,7.11822564734687,9,2664,124.318484071191,55.4060542657629,6.62661275510947,10,3312,141.900438108778,77.5303167683045,7.69709660215003,11,2880,133.460230124456,42.0206468240804,6.51870953171484,12,2580,126.513989853122,40.6379914522815,5.70741922726795,13,2448,124.627958736981,30.8950169075098,4.58451602656034,14,2616,126.188410791971,42.0832814612143,6.06903212241107,15,2844,132.380712693708,57.3754576277949,7.31290306235033,16,3228,140.225978073832,26.1721020884551,5.25838697924008,17,2784,130.032194132705,52.2240043466203,6.62209662617815,18,2532,123.551230148488,40.6501103462355,5.69467729206888,19,2688,125.20920441022,30.9237746804581,5.34983859009921,20,2688,129.637073157712,76.6577527686693,7.90564498458538,21,2856,135.687156851258,42.7821716612571,6.11887083097451,22,2712,126.766306770456,48.8395838536803,6.52596759606874,23,2808,131.41303592739,79.3800214871023,7.88370950120471,24,2784,129.608022340857,60.2177243086132,7.16274177538411,25,2352,118.709277513048,56.2279258875976,6.86967726580558,26,2592,128.642885371723,74.3957996908211,7.91983853265523,27,2808,133.757481070315,91.458804861315,8.44370948868774,28,2784,129.656841869446,18.5697148732571,4.23774184076296,29,2772,129.845640533167,65.1238674805901,7.56661273409883,30,2388,121.940079323661,65.7973553049193,7.43693531764251,31,2892,133.969552240256,44.3448223628026,6.05935470327254,32,2892,131.004719085685,36.4251468197561,6.15161276572654,33,2820,130.829315360192,21.8401394617578,4.46274183573382,34,2700,128.029708445776,32.495344896941,5.3109676232261,35,2688,129.637073157712,61.616569257431,7.39983854427814,36,3324,142.081622928654,25.7388660207769,5.08048375741008,37,3168,139.262417892422,44.2315269629912,6.28838695621779,38,2544,120.500233453582,42.9938973735635,6.40290308269041,39,3048,135.51620864015,77.5413766643188,7.4435482207205,40,2520,121.530905416877,65.6411675417854,7.44435467231538,41,2724,125.620131793545,41.3454024174124,6.51032243512811,42,2928,132.279879435973,50.3183462192796,6.62596759383356,43,2700,128.029708445776,67.7099688665671,7.51741918681129,44,2784,130.841826164415,55.3572870281698,7.14903209827119,45,2424,121.36836879647,70.9458102796853,7.72709660147948,46,3012,136.578349784097,34.6878825720258,5.57887084304445,47
2268,117.214244057037,100.720121738627,8.03161272370527,1,2460,116.954806730011,98.9908417438031,7.74467724624781,2,1800,100.53572073573,67.7675942498877,5.92499986756593,3,2040,106.859264395384,98.629338317159,7.23645145115593,4,2412,115.696883565407,87.6080695284068,7.02758048808262,5,1836,102.710844339897,96.9343482934057,6.98387081164026,6,2376,116.72092194352,93.0442118997899,7.19919338747258,7,2496,116.136651703994,137.384593127624,8.6943546443757,8,2436,118.298242469006,78.0203594285235,6.88064500749592,9,2064,105.62867377839,61.3102937188075,5.46080632955437,10,2532,119.462510068972,97.8586995223147,7.91032240383567,11,2448,117.078649183165,94.9694749988377,7.29306435311634,12,1920,105.268736529476,91.0154207434895,6.92612887744702,13,1824,101.436319398852,81.5163435029565,6.53338695074161,14,1968,104.981565236436,79.9710121911533,6.42467727575211,15,2136,113.73678710862,221.672428644537,12.0091932799607,16,2640,121.504922972702,50.482450921415,6.71645146277883,17,2244,113.980216652887,74.0798666886149,6.95483855422466,18,1788,99.055686551237,93.642594836837,6.87709662047846,19,2028,104.627138558198,101.577496639774,7.13483855020135,20,2016,106.767472576535,122.982507050179,8.16903207547242,21,2364,118.289288850892,54.1003891383391,6.7819353322829,22,2160,112.528994396343,92.0386588506167,7.30048370778921,23,2316,115.853532586237,100.057050902124,7.987257885987,24,2232,113.42009036012,100.143982134448,7.54612886358894,25,1884,104.597412869251,136.851140499464,9.60258043052689,26,1896,102.399745123253,134.785370326827,8.56725787302299,27,2136,112.368250386374,130.393719024624,8.61806432350028,28,2412,117.813281134551,122.588027969153,8.02790304636883,29,2196,112.956051624905,94.9626142591475,7.5641933793142,30,1992,106.281808394563,121.231014413721,8.38629013513245,31,2172,113.163417065138,214.271249640503,11.8033868329479,32,2436,115.947109312144,79.9541019609597,6.90209661991966,33,2196,113.896390198312,157.932803070853,9.48612882022656,34,2076,109.047523704819,122.481041462328,7.77838692291369,35,2016,106.767472576535,196.268730009888,11.4291932929247,36,2544,118.682676044974,36.1369835050356,5.87258051389888,37,2628,122.411661663832,103.131245152334,8.26258046047822,38,1896,107.137332985229,184.038700286909,11.1845158790388,39,2616,124.572047694645,132.064040210213,9.390967532031,40,1740,96.0883710405669,207.224747611601,11.8398384450364,41,1968,106.216338400186,113.715378535665,7.47306434909302,42,2472,117.506993495765,63.9321669617934,6.54080630541449,43,2076,109.047523704819,70.7310953273703,6.09774179918872,44,2052,111.047225030006,89.3420093369304,7.25532241847606,45,1992,104.959715503929,89.1476620324444,7.24661274125139,46,2424,117.947080583207,65.0280815268026,7.15983854964255,47
