"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat"
2916,131.50637700505,17.6992184332704,5.07645149943569,1,1951,51.9,9.85,"51.9 9.85","1950-1970",112,6.60440202629315
2256,114.548732555429,84.7277603083323,5.67274180868821,1,1952,51.9,9.85,"51.9 9.85","1950-1970",105,8.34135850920828
2532,121.289616371739,77.9323356270101,7.97967724099515,1,1953,51.9,9.85,"51.9 9.85","1950-1970",104,8.90961936607188
2304,116.216797589856,26.9762897987689,5.95838696359386,1,1954,51.9,9.85,"51.9 9.85","1950-1970",120,7.46826070263658
1896,106.072924175033,84.112960337918,7.53354821870885,1,1955,51.9,9.85,"51.9 9.85","1950-1970",121,5.6753259601031
2232,105.802021159416,91.4800500129816,7.81096756734675,1,1956,51.9,9.85,"51.9 9.85","1950-1970",130,6.9966846262206
2988,134.887502155058,54.3341333636778,6.91887081309312,1,1957,51.9,9.85,"51.9 9.85","1950-1970",116,8.0423367767615
2076,110.120262345448,47.0914978208975,6.12177405671607,1,1958,51.9,9.85,"51.9 9.85","1950-1970",122,6.21918464359908
2748,124.42404874183,126.847436858024,9.62499978486449,1,1959,51.9,9.85,"51.9 9.85","1950-1970",109,9.55429326470577
2496,120.592842298411,77.855470513338,8.19451594587055,1,1960,51.9,9.85,"51.9 9.85","1950-1970",116,8.28364111919401
2220,115.805696337668,139.606580929452,9.54806430271316,1,1961,51.9,9.85,"51.9 9.85","1950-1970",115,9.11266283979437
2268,110.292438887597,134.999190199353,9.24951592228946,1,1962,51.9,9.85,"51.9 9.85","1950-1970",128,6.11896725453477
1788,89.6532653384166,115.815582985431,9.55516107674808,1,1963,51.9,9.85,"51.9 9.85","1950-1970",126,7.96782590886173
2316,115.977254183582,129.308306566529,9.14096753761893,1,1964,51.9,9.85,"51.9 9.85","1950-1970",125,7.57201070031759
2256,111.317524227205,57.8867281966581,7.56774176633166,1,1965,51.9,9.85,"51.9 9.85","1950-1970",123,6.98630419167002
2220,113.527880658195,136.228395947887,9.57403204406822,1,1966,51.9,9.85,"51.9 9.85","1950-1970",122,8.79934762940621
2628,123.412176141453,79.1801704055423,8.08661272247592,1,1967,51.9,9.85,"51.9 9.85","1950-1970",130,8.42168459436937
1752,98.3378709119621,101.568414448152,7.95887078984731,1,1968,51.9,9.85,"51.9 9.85","1950-1970",110,8.2506519894966
1452,89.8781709947477,100.185132621082,8.07661272269944,1,1969,51.9,9.85,"51.9 9.85","1950-1970",123,6.80407593487357
2160,107.466460393161,65.093402239311,6.74838694593599,1,1970,51.9,9.85,"51.9 9.85","1950-1970",125,6.42847811718188
1896,107.454684547253,18.3601601115797,4.83790311767089,2,1951,49.3167,12.75,"49.3167 12.75","1950-1970",112,6.46293463815085
1860,98.0528464307315,98.9824681565365,6.21403211917007,2,1952,49.3167,12.75,"49.3167 12.75","1950-1970",109,7.38646722620394
1860,97.4321480386345,69.8856375390269,7.86967724345384,2,1953,49.3167,12.75,"49.3167 12.75","1950-1970",106,8.30456503176981
1824,102.009755714411,26.9909824527294,5.25306439871389,2,1954,49.3167,12.75,"49.3167 12.75","1950-1970",122,6.62885854748564
1536,91.9116141497373,79.8621896492986,6.60870952970318,2,1955,49.3167,12.75,"49.3167 12.75","1950-1970",122,5.09070640795297
1524,91.3667587144009,52.2962077433457,5.88258051367537,2,1956,49.3167,12.75,"49.3167 12.75","1950-1970",126,5.71945639389932
2508,116.421501593508,36.5101999326397,5.83048374064627,2,1957,49.3167,12.75,"49.3167 12.75","1950-1970",116,7.08070636347301
1704,95.2707674966585,163.787863813373,9.83322558666189,2,1958,49.3167,12.75,"49.3167 12.75","1950-1970",136,5.38994553169924
