"siteslist","cc","meanmat","varmat","sdmat","meanlo","varlo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
1,"1950-1970",7.627855807765,1.22380433959169,1.10625690487865,119.1,62.3052631578947,7.89336830243558,2275.2,87.4464528806808,-3.59752683456315,1.45237223116914,NA,NA,-0.224817768454728,0.0935144436525979,NA,NA,7.81989498650205,1.94924207912256,1.39615259879519,0.798661746863349
1,"1990-2010",8.81410034646776,0.95031390092968,0.974840448960588,115.6,19.0947368421053,4.36975249208754,2472,88.4264318406386,-2.16970155771671,0.924526273425422,NA,NA,-0.160443605830178,0.0709125304620648,NA,NA,7.88482240440564,0.561082090312823,0.749054130429052,0.85176585684592
2,"1950-1970",6.72901343655135,1.23415231066178,1.11092407961201,114.55,86.9973684210526,9.32723798458325,1824.6,61.7387979317216,-6.90558966184865,1.12557218324462,NA,NA,-0.402859326556523,0.0644388441261516,NA,NA,6.43062888852231,1.31616817573195,1.14724372987258,0.66840611970082
2,"1990-2010",8.23435035942618,0.947440928530508,0.973365773247913,114.5,24.3684210526316,4.93643809366952,2152.8,64.868605783457,-3.00194861877293,0.963458993983874,NA,NA,-0.20573329298939,0.0717813571962709,NA,NA,6.69386275360631,0.899658877233779,0.948503493527451,0.814050160217448
3,"1950-1970",7.68809221946209,1.37629740231537,1.17315702372503,113.55,70.8921052631579,8.41974496425859,1920.6,73.7494265258918,-6.07406866677094,0.90107905024586,NA,NA,-0.4066326689989,0.0641603391514913,NA,NA,7.07161274516294,0.883069797316517,0.939717934976511,0.665888746962192
3,"1990-2010",8.64502154589914,0.890113556928055,0.943458296337498,113.95,15.5236842105263,3.94001068660052,2209.8,68.603498554001,-1.95321473260659,0.87002773894512,NA,NA,-0.141735039269529,0.0668937524239505,NA,NA,6.99989500483047,0.810066033328274,0.900036684434737,0.867851172505818
4,"1950-1970",7.39988842155612,1.23168621542082,1.10981359489818,114.35,53.0815789473684,7.28571060002855,1762.2,70.9860232822661,-2.58321895223247,1.42251056550545,NA,NA,-0.147644919901612,0.0934058299603719,NA,NA,6.78597565477323,4.24432792098997,2.06017667227594,0.862737401442094
4,"1990-2010",8.61546719873365,0.962047189668992,0.980840042855609,111.3,55.6947368421053,7.46289064921263,2019,61.6040539629217,-4.9753578832874,1.35682863412748,NA,NA,-0.380538545304307,0.107018006370685,NA,NA,6.63704823874718,0.751471755935048,0.866874706018723,0.683493218014347
5,"1950-1970",7.3086873366381,1.25114361425004,1.11854531166602,114.25,70.8289473684211,8.4159935461252,2130.6,68.0645619365255,-5.85573232678141,1.11359686404928,NA,NA,-0.362201973010709,0.0745984468844979,NA,NA,6.90471758760302,0.767395789329652,0.876011295206661,0.696141751796435
5,"1990-2010",8.41383948584907,0.961109061003275,0.980361699069927,114.25,28.8289473684211,5.36925948045176,2428.2,70.8658709605678,-2.39153665786833,1.16132235367416,NA,NA,-0.165508616813322,0.0857930423874698,NA,NA,7.07246758385351,0.720898160719283,0.849057218754592,0.847462560746777
6,"1950-1970",7.97089927835825,1.34019377946876,1.15766738723554,113.15,48.7657894736842,6.98325063803987,2190.6,72.9639728428259,-4.71133626012124,0.887894790156545,NA,NA,-0.32386407244231,0.0646537949980013,NA,NA,7.24385467679691,0.740494629529436,0.860519976252403,0.723348558700685
6,"1990-2010",9.09944273139421,0.929891338291763,0.964308735982291,109.9,77.8842105263158,8.82520314362881,2414.4,77.4901373053368,-2.24219279922433,2.09136877704187,NA,NA,-0.185285876552799,0.176150033719032,NA,NA,7.42146757605275,0.989685718669041,0.994829492259373,0.830866724582372
7,"1950-1970",7.1008639717181,1.45683236196511,1.20699310767092,120.25,47.4605263157895,6.88916005880176,2259,66.912711446793,-4.19132816235841,0.913195230598388,NA,NA,-0.242613426572552,0.0561166824928536,NA,NA,6.97319339252408,0.925897944807722,0.962235909124016,0.784574750906618
7,"1990-2010",8.21444546856674,0.892938369071698,0.944954162418314,121,32.9473684210526,5.73997982758238,2562,88.1698044645061,-4.11848930835101,1.05239783724787,NA,NA,-0.275040275963556,0.0705301952258983,NA,NA,8.02504820772297,0.852339153802835,0.92322215842279,0.759541531341878
8,"1950-1970",7.32906233618269,1.31743364013949,1.14779512115163,115.7,71.6947368421053,8.46727446361019,2184.6,72.6038941356475,-4.76958454538014,1.32646275352852,NA,NA,-0.292105929799975,0.086756296225355,NA,NA,7.2069675808472,0.797661409656394,0.893118922460158,0.746689435121357
8,"1990-2010",8.41352426846481,1.02613526475492,1.01298334870565,112.85,24.0289473684211,4.9019330236572,2454,65.4312647486129,-1.30429697771537,1.09837629784229,NA,NA,-0.0838559837514174,0.0807975999568924,NA,NA,6.95274984459393,0.64442186032896,0.802758905480942,0.91956367867073
9,"1950-1970",7.12220092776292,1.21362573158268,1.10164682706514,115.25,38.9342105263158,6.23972840164664,1776,66.2285722308713,-4.22645524571623,0.888756309747635,NA,NA,-0.246102478477754,0.0553383175028247,NA,NA,6.83222565373947,1.13138412599365,1.06366542013626,0.781842098831815
9,"1990-2010",8.30126611880006,1.00955292599795,1.00476510986297,113,25.4736842105263,5.04714614515236,2058,64.0655210671108,-2.05994105428253,1.07984776533444,NA,NA,-0.147806906803454,0.0806580579399911,NA,NA,6.66471759296743,1.02758280601319,1.0136975910069,0.86259766060173
